seed,world,view,idx,hazard,fam,n_floor,n_tau,max_conf,any_box,hit_wedge,center_wedge,hit_full,cell_hit,n_claimed,n_gt_cells
44,gz_drop3_ctrl,preset_h0.3_d5,001,0,negobs,31,2,0.5587,1,0,0,0,0,5,0
44,gz_drop3_ctrl,preset_h0.3_d5,002,0,negobs,31,2,0.5587,1,0,0,0,0,5,0
44,gz_drop3_ctrl,preset_h0.9_d10,000,0,negobs,1,0,0.17087,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d10,001,0,negobs,1,0,0.17087,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d10,002,0,negobs,1,0,0.17087,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d2,000,0,negobs,4,0,0.07856,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d2,001,0,negobs,4,0,0.07856,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d2,002,0,negobs,4,0,0.07856,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d5,000,0,negobs,23,0,0.15743,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d5,001,0,negobs,23,0,0.15743,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.9_d5,002,0,negobs,23,0,0.15743,0,0,0,0,0,0,0
44,gz_drop3_ctrl,rs_h0.125_d2,000,0,rs,2,0,0.09435,0,0,0,0,0,0,0
44,gz_drop3_ctrl,rs_h0.125_d2,001,0,rs,2,0,0.09435,0,0,0,0,0,0,0
44,gz_drop3_ctrl,rs_h0.125_d2,002,0,rs,2,0,0.09435,0,0,0,0,0,0,0
44,gz_drop3_ctrl,rs_h0.125_d5,000,0,rs,1,1,0.37586,1,0,0,0,0,2,0
44,gz_drop3_ctrl,rs_h0.125_d5,001,0,rs,1,1,0.37586,1,0,0,0,0,2,0
44,gz_drop3_ctrl,rs_h0.125_d5,002,0,rs,1,1,0.37586,1,0,0,0,0,2,0
44,gz_drop4,extra_h0.3_d1.2,000,1,negobs,15,0,0.10232,0,0,0,0,0,0,5
44,gz_drop4,extra_h0.3_d1.2,001,1,negobs,15,0,0.10232,0,0,0,0,0,0,5
44,gz_drop4,extra_h0.3_d1.2,002,1,negobs,15,0,0.10232,0,0,0,0,0,0,5
44,gz_drop4,preset_h0.3_d10,000,1,negobs,1,0,0.15107,0,0,0,0,0,0,1
44,gz_drop4,preset_h0.3_d10,001,1,negobs,1,0,0.15107,0,0,0,0,0,0,1
44,gz_drop4,preset_h0.3_d10,002,1,negobs,1,0,0.15107,0,0,0,0,0,0,1
44,gz_drop4,preset_h0.3_d2,000,1,negobs,18,0,0.0996,0,0,0,0,0,0,3
44,gz_drop4,preset_h0.3_d2,001,1,negobs,18,0,0.0996,0,0,0,0,0,0,3
44,gz_drop4,preset_h0.3_d2,002,1,negobs,18,0,0.0996,0,0,0,0,0,0,3
44,gz_drop4,preset_h0.3_d5,000,1,negobs,17,0,0.07174,0,0,0,0,0,0,1
44,gz_drop4,preset_h0.3_d5,001,1,negobs,17,0,0.07174,0,0,0,0,0,0,1
