epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,648.097,1.15828,0.92142,1.16765,0.46256,0.49409,0.45507,0.23341,1.00112,1.98207,0.86161,0.000878,0.000878,0.000878
36,666.344,1.13985,0.90976,1.14713,0.36006,0.513,0.38697,0.20033,1.03565,1.95794,0.87538,0.000845,0.000845,0.000845
37,685.073,1.16635,0.92579,1.16622,0.21713,0.59929,0.32538,0.17601,1.04575,2.28368,0.93775,0.000812,0.000812,0.000812
38,703.275,1.11624,0.85323,1.12997,0.34745,0.54881,0.39387,0.20344,1.02714,2.94828,0.93772,0.000779,0.000779,0.000779
39,722.203,1.1226,0.89371,1.13863,0.32403,0.55083,0.37898,0.21301,0.9781,4.26363,0.85135,0.000746,0.000746,0.000746
40,740.343,1.11845,0.86001,1.1383,0.39788,0.49054,0.41151,0.2345,0.96383,2.29582,0.85258,0.000713,0.000713,0.000713
41,758.907,1.12302,0.92194,1.1391,0.2518,0.54301,0.33871,0.19409,0.98399,3.14108,0.86759,0.00068,0.00068,0.00068
42,777.228,1.05538,0.83961,1.10189,0.27721,0.57329,0.35395,0.19474,0.98902,2.30827,0.8612,0.000647,0.000647,0.000647
43,796.257,1.0669,0.82781,1.11447,0.24023,0.5792,0.32135,0.18607,0.92062,2.73401,0.82188,0.000614,0.000614,0.000614
44,814.255,1.11116,0.84915,1.12656,0.27207,0.58156,0.35203,0.19899,0.9511,1.71544,0.83918,0.000581,0.000581,0.000581
45,833.389,1.05466,0.81836,1.11221,0.33843,0.51655,0.39328,0.21451,1.02915,1.69303,0.90794,0.000548,0.000548,0.000548
46,851.371,1.01333,0.78919,1.08665,0.47794,0.474,0.45118,0.25347,0.98501,2.29552,0.89539,0.000515,0.000515,0.000515
47,870.176,1.03142,0.79784,1.08792,0.32246,0.54374,0.38252,0.21276,0.91821,1.83619,0.80105,0.000482,0.000482,0.000482
48,888.47,1.01755,0.77221,1.09523,0.31395,0.58474,0.3787,0.22925,0.915,1.83791,0.81939,0.000449,0.000449,0.000449
49,907.48,1.01531,0.82583,1.09484,0.25153,0.61229,0.33934,0.20094,0.9559,1.92062,0.85029,0.000416,0.000416,0.000416
50,925.451,0.97725,0.76145,1.06483,0.29453,0.57565,0.38343,0.23066,0.95424,2.2852,0.8589,0.000383,0.000383,0.000383
51,945.333,0.94294,0.73357,1.10577,0.2237,0.63357,0.31952,0.19112,0.97044,1.80868,0.86376,0.00035,0.00035,0.00035
52,963.44,0.89967,0.6588,1.05769,0.29034,0.60165,0.37535,0.22186,0.88899,1.28926,0.79802,0.000317,0.000317,0.000317
53,982.099,0.86438,0.63434,1.03976,0.27952,0.58747,0.3642,0.22151,0.91267,1.51597,0.83228,0.000284,0.000284,0.000284
54,999.657,0.8496,0.65672,1.03703,0.31299,0.55792,0.36805,0.21312,0.93258,1.36298,0.84547,0.000251,0.000251,0.000251
55,1018.36,0.84598,0.64394,1.0412,0.27769,0.58274,0.36273,0.22045,0.89774,1.46076,0.81847,0.000218,0.000218,0.000218
56,1036.36,0.83466,0.6213,1.02883,0.28455,0.59142,0.36721,0.22148,0.88986,1.36528,0.81132,0.000185,0.000185,0.000185
57,1054.65,0.82447,0.59525,1.02833,0.2884,0.6052,0.37043,0.2245,0.89061,1.35037,0.81216,0.000152,0.000152,0.000152
58,1072.12,0.80578,0.59232,1.00804,0.31014,0.60402,0.38676,0.23721,0.91288,1.31566,0.84651,0.000119,0.000119,0.000119
59,1090.45,0.78939,0.60326,1.00802,0.29104,0.60638,0.37678,0.22487,0.92091,1.32737,0.8504,8.6e-05,8.6e-05,8.6e-05
60,1108.15,0.77871,0.60681,1.00017,0.28618,0.61466,0.36984,0.22129,0.89492,1.28848,0.83172,5.3e-05,5.3e-05,5.3e-05
