scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
scene15,L0__s20260819__0001.png,V,True,,4,0.891304,0.251745,0.639559,0.903088,0.251745,0.651343
scene15,L0__s20260819__0002.png,V,True,,2,0.168111,0.172919,-0.004807999999999979,0.168111,0.172919,-0.004807999999999979
scene15,L0__s20260819__0003.png,V,True,,8,0.247427,0.182452,0.064975,0.247427,0.182452,0.064975
scene15,L0__s20260819__0004.png,V,True,,2,0.200975,0.196901,0.004073999999999994,0.200975,0.196901,0.004073999999999994
scene15,L0__s20260819__0005.png,V,True,,4,0.841974,0.275957,0.566017,0.841974,0.275957,0.566017
scene15,L0__s20260819__0006.png,V,True,,4,0.827728,0.077724,0.750004,0.905196,0.158795,0.746401
scene15,L0__s20260819__0007.png,V,True,,1,0.242126,0.213661,0.028465000000000018,0.242126,0.213661,0.028465000000000018
scene15,L4__s20260819__0000.png,H,True,,1,0.093225,0.08684,0.006385000000000002,0.093225,0.08684,0.006385000000000002
scene15,L4__s20260819__0001.png,V,True,,4,0.792804,0.162795,0.6300089999999999,0.815418,0.162795,0.652623
scene15,L4__s20260819__0002.png,V,True,,2,0.172647,0.097946,0.07470099999999999,0.172647,0.097946,0.07470099999999999
scene15,L4__s20260819__0003.png,V,True,,8,0.226326,0.115471,0.110855,0.226326,0.115471,0.110855
scene15,L4__s20260819__0004.png,V,True,,2,0.203069,0.096661,0.106408,0.203069,0.096661,0.106408
scene15,L4__s20260819__0005.png,V,True,,4,0.3555,0.100693,0.254807,0.3555,0.100693,0.254807
scene15,L4__s20260819__0006.png,V,True,,4,0.519082,0.045216,0.47386600000000006,0.609331,0.101078,0.508253
scene15,L4__s20260819__0007.png,V,True,,1,0.148334,0.081277,0.06705699999999999,0.152668,0.081277,0.071391
scene15,L7__s20260819__0000.png,H,True,,1,0.23996,0.232576,0.007384000000000002,0.23996,0.232576,0.007384000000000002
scene15,L7__s20260819__0001.png,V,True,,4,0.853742,0.191137,0.662605,0.870857,0.191137,0.67972
scene15,L7__s20260819__0002.png,V,True,,2,0.31726,0.149289,0.16797099999999998,0.31726,0.149289,0.16797099999999998
scene15,L7__s20260819__0003.png,V,True,,8,0.278253,0.13367,0.14458299999999996,0.278253,0.13367,0.14458299999999996
scene15,L7__s20260819__0004.png,V,True,,2,0.359099,0.179203,0.179896,0.359099,0.179203,0.179896
scene15,L7__s20260819__0005.png,V,True,,4,0.759727,0.198261,0.561466,0.759727,0.198261,0.561466
scene15,L7__s20260819__0006.png,V,True,,4,0.630172,0.041008,0.5891639999999999,0.730445,0.103352,0.627093
scene15,L7__s20260819__0007.png,V,True,,1,0.261689,0.113845,0.147844,0.261689,0.113845,0.147844
scene18,L0__s20260819__0000.png,V,True,,15,0.929068,0.881018,0.04805000000000004,0.929068,0.881018,0.04805000000000004
scene18,L0__s20260819__0001.png,V,True,,11,0.958559,0.18731,0.7712490000000001,0.958559,0.18731,0.7712490000000001
scene18,L0__s20260819__0002.png,E,True,,4,0.266213,0.323265,-0.05705200000000005,0.266213,0.323265,-0.05705200000000005
scene18,L0__s20260819__0003.png,V,True,,15,0.251125,0.146219,0.104906,0.251125,0.146219,0.104906
scene18,L0__s20260819__0004.png,V,True,,15,0.272404,0.188903,0.08350099999999999,0.272404,0.188903,0.08350099999999999
scene18,L0__s20260819__0005.png,V,True,,15,0.270489,0.166547,0.10394199999999998,0.270489,0.166547,0.10394199999999998
scene18,L0__s20260819__0006.png,E,True,,5,0.889196,0.421566,0.46763,0.889196,0.421566,0.46763
scene18,L0__s20260819__0007.png,E,True,,4,0.692994,0.224479,0.468515,0.692994,0.224479,0.468515
scene18,L5__s20260819__0000.png,V,True,,15,0.890541,0.712858,0.17768300000000004,0.890541,0.712858,0.17768300000000004
scene18,L5__s20260819__0001.png,V,True,,11,0.934028,0.111657,0.822371,0.934028,0.111657,0.822371
scene18,L5__s20260819__0002.png,E,True,,4,0.080266,0.093557,-0.013290999999999997,0.080266,0.093557,-0.013290999999999997
scene18,L5__s20260819__0003.png,V,True,,15,0.144874,0.135568,0.009306000000000009,0.144874,0.135568,0.009306000000000009
scene18,L5__s20260819__0004.png,V,True,,15,0.304048,0.116707,0.18734099999999998,0.304048,0.116707,0.18734099999999998
scene18,L5__s20260819__0005.png,V,True,,15,0.257997,0.09759,0.16040699999999997,0.257997,0.09759,0.16040699999999997
scene18,L5__s20260819__0006.png,E,True,,5,0.516806,0.309694,0.20711199999999996,0.516806,0.309694,0.20711199999999996
scene18,L5__s20260819__0007.png,E,True,,4,0.414171,0.164078,0.250093,0.414171,0.164078,0.250093
scene18,L7__s20260819__0000.png,V,True,,15,0.89799,0.822512,0.07547799999999993,0.89799,0.822512,0.07547799999999993
scene18,L7__s20260819__0001.png,V,True,,11,0.790932,0.143824,0.647108,0.790932,0.143824,0.647108
scene18,L7__s20260819__0002.png,E,True,,4,0.258074,0.433187,-0.17511299999999996,0.258074,0.433187,-0.17511299999999996
scene18,L7__s20260819__0003.png,V,True,,15,0.164843,0.141219,0.02362399999999998,0.164843,0.141219,0.02362399999999998
scene18,L7__s20260819__0004.png,V,True,,15,0.107745,0.110837,-0.0030920000000000114,0.107745,0.110837,-0.0030920000000000114
scene18,L7__s20260819__0005.png,V,True,,15,0.175338,0.135953,0.039385,0.175338,0.135953,0.039385
scene18,L7__s20260819__0006.png,E,True,,5,0.69577,0.402487,0.293283,0.69577,0.402487,0.293283
scene18,L7__s20260819__0007.png,E,True,,4,0.489589,0.228765,0.260824,0.489589,0.228765,0.260824
sceneC2,L2__s20260819__0000.png,V,False,ground_z,8,0.914614,0.781913,0.13270100000000007,0.914614,0.781913,0.13270100000000007
sceneC2,L2__s20260819__0001.png,V,False,ground_z,3,0.968809,0.972508,-0.003699000000000008,0.968809,0.972508,-0.003699000000000008
sceneC2,L2__s20260819__0002.png,V,False,ground_z,2,0.941373,0.973765,-0.032391999999999976,0.941373,0.973765,-0.032391999999999976
sceneC2,L2__s20260819__0003.png,V,False,ground_z,10,0.809181,0.177309,0.631872,0.809181,0.177309,0.631872
