model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cell_int_px,n_px,unseen,lum_ratio,line_frac,fam_decorative,fam_terrain,fam_lighting,fam_surrogate,fam_boundary,bnd_band,bnd_sector,bnd_corner,surrogate_weak,light_50,light_70,prior_saturated,n_families,families,method
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0005.png,scene15,off,C3b,17,C,3b,0.880325,0,539,0,1.6016,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0005.png,scene15,off,D3b,18,D,3b,0.555948,0,419,0,1.5743,0.0573,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0006.png,scene15,off,B3a,11,B,3a,0.752254,0,2715,0,0.7094,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0006.png,scene15,off,B3b,16,B,3b,0.880352,0,527,0,2.6414,0.0588,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0006.png,scene15,off,C3b,17,C,3b,0.797423,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0000.png,scene15,off,B3b,16,B,3b,0.600344,0,3379,0,1.4217,0.0071,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0000.png,scene15,off,C3b,17,C,3b,0.504799,0,4280,0,1.0591,0.0393,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0001.png,scene15,off,B3b,16,B,3b,0.896532,0,321,0,1.5237,0.134,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0001.png,scene15,off,C3b,17,C,3b,0.816657,0,76,0,1.4639,0.4868,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0002.png,scene15,off,B3b,16,B,3b,0.750829,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0002.png,scene15,off,C3b,17,C,3b,0.840487,0,956,0,1.5066,0.1663,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0002.png,scene15,off,D3b,18,D,3b,0.772775,0,349,0,1.0822,0.0401,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0003.png,scene15,off,B3a,11,B,3a,0.85404,0,1676,0,1.6733,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0003.png,scene15,off,C3a,12,C,3a,0.592838,0,2920,0,1.1632,0.1853,0,0,0,1,0,0,0,0,0,0,0,0,1,대리선형,heuristic
