backup_file	bytes	source_file_exists
dataset/v3_library/260826_v3w1_lib_B/manifest.json.pre0827.bak	6002	True
dataset/v3_library/260826_v3w1_lib_B2/manifest.json.pre0827.bak	4835	True
dataset/v3_library/260826_v3w1_lib_B2_e/manifest.json.pre0827.bak	2944	True
dataset/v3_library/260826_v3w1_lib_B2_e/test/scene12/heightmap_fused_meta.json.pre0827.bak	1084	True
dataset/v3_library/260826_v3w1_lib_B2_e2/manifest.json.pre0827.bak	1388	True
dataset/v3_library/260826_v3w1_lib_B2_e2/test/scene12/heightmap_fused_meta.json.pre0827.bak	1084	True
dataset/v3_library/260826_v3w1_lib_B2_h/manifest.json.pre0827.bak	1030	True
dataset/v3_library/260826_v3w1_lib_D/manifest.json.pre0827.bak	8367	True
dataset/v3_library/260826_v3w1_lib_D_e/manifest.json.pre0827.bak	3651	True
dataset/v3_library/260826_v3w1_lib_D_e/test/scene12/heightmap_fused_meta.json.pre0827.bak	1151	True
dataset/v3_library/260826_v3w1_lib_D_e/train/scene08/heightmap_fused_meta.json.pre0827.bak	1153	True
dataset/v3_library/260826_v3w1_lib_D_e2/manifest.json.pre0827.bak	2104	True
dataset/v3_library/260826_v3w1_lib_D_e2/test/scene12/heightmap_fused_meta.json.pre0827.bak	1151	True
dataset/v3_library/260826_v3w1_lib_D_h/manifest.json.pre0827.bak	1027	True
dataset/v3_library/260827_v3w1_lib_B3/manifest.json.pre0827.bak	2212	True
dataset/v3_library/260827_v3w1_lib_B3_e/manifest.json.pre0827.bak	1510	True
dataset/v3_library/260827_v3w1_lib_B3_e2/manifest.json.pre0827.bak	676	True
dataset/v3_library/260827_v3w1_lib_B3_h/manifest.json.pre0827.bak	672	True
dataset/v3_library/260827_v3w1_lib_C/manifest.json.pre0827.bak	6961	True
dataset/v3_library/260827_v3w1_lib_C_e/manifest.json.pre0827.bak	3662	True
dataset/v3_library/260827_v3w1_lib_C_e/test/scene12/heightmap_fused_meta.json.pre0827.bak	1023	True
dataset/v3_library/260827_v3w1_lib_C_e2/manifest.json.pre0827.bak	2102	True
dataset/v3_library/260827_v3w1_lib_C_e2/test/scene12/heightmap_fused_meta.json.pre0827.bak	1023	True
dataset/v3_library/260827_v3w1_lib_C_h/manifest.json.pre0827.bak	1029	True
experiments/dayrun_0820/annotations/amodal/bboxes.json.pre0827.bak	2283036	True
experiments/dayrun_0820/code/run_phase1.sh.pre0827.bak	2987	True
experiments/dayrun_0820/dataset_manifest_v2.json.pre0827.bak	2255722	True
experiments/dayrun_0820/dataset_manifest_v2_full.json.pre0827.bak	2902776	True
experiments/dayrun_0820/logs/boost_render.log.pre0827.bak	3450837	True
experiments/dayrun_0820/manifest_boost_e.json.pre0827.bak	961068	True
experiments/dayrun_0820/manifest_boost_e2.json.pre0827.bak	550430	True
experiments/dayrun_0820/manifest_boost_h.json.pre0827.bak	274644	True
experiments/dayrun_0820/narrative/diag_v1/DIAG_V1.md.pre0827.bak	20775	True
experiments/dayrun_0820/narrative/diag_v1/diag_v1.py.pre0827.bak	23625	True
experiments/mainrun_0819/HARNESS_NOTES.md.pre0827.bak	23417	True
experiments/mainrun_0819/METRICS.md.pre0827.bak	91411	True
experiments/mainrun_0819/PATHS.md.pre0827.bak	2033	True
experiments/mainrun_0819/PIPELINE_NOTES.md.pre0827.bak	27082	True
experiments/mainrun_0819/SPEC_EXTRACTED.md.pre0827.bak	27796	True
experiments/mainrun_0819/dataset_manifest_v1.json.pre0827.bak	2079431	True
experiments/mainrun_0819/logs/render.log.pre0827.bak	3216998	True
experiments/nightrun_0820/ctrl_dressing/CTRL_TABLE.md.pre0827.bak	3865	True
experiments/nightrun_0820/ctrl_dressing/README.md.pre0827.bak	10139	True
experiments/nightrun_0820/ctrl_dressing/ctrl_table.py.pre0827.bak	10696	True
experiments/nightrun_0820/ctrl_dressing/logs/render.log.pre0827.bak	129309	True
experiments/nightrun_0820/ctrl_dressing/manifest_ctrl.json.pre0827.bak	137239	True
experiments/nightrun_0820/ctrl_dressing/run_ctrl_dressing.sh.pre0827.bak	10844	True
experiments/nightrun_0820/ctrl_dressing/run_ctrl_eval.sh.pre0827.bak	9559	True
experiments/probe_holes_0820/README.md.pre0827.bak	17286	True
experiments/probe_holes_0820/dataset_manifest_probe.json.pre0827.bak	205349	True
experiments/probe_holes_0820/logs/probe.log.pre0827.bak	691852	True
experiments/probe_holes_0820/run_probe.sh.pre0827.bak	12878	True
experiments/v3_0823/G7_RELABEL.md.pre0827.bak	30376	True
experiments/v3_0823/REG_AUDIT.md.pre0827.bak	72398	True
experiments/v3_0823/RENDER_PLAN_V3.md.pre0827.bak	77173	True
experiments/v3_0823/SCENE_H67_BUILD.md.pre0827.bak	35012	True
experiments/v3_0823/SCENE_TEXT_BUILD.md.pre0827.bak	170177	True
experiments/v3_0823/W0_CUECLS.md.pre0827.bak	31122	True
experiments/v3_0823/W1D_REPORT.md.pre0827.bak	39629	True
experiments/v3_0823/W2_H67_REPORT.md.pre0827.bak	18882	True
experiments/v3_0823/W3_REPORT.md.pre0827.bak	48511	True
experiments/v3_0823/amodal5/frames.json.pre0827.bak	798486	True
experiments/v3_0823/annotations/_w3_b2_ac_manifest.json.pre0827.bak	138417	True
experiments/v3_0823/annotations/_w3_b2_bd_manifest.json.pre0827.bak	138417	True
experiments/v3_0823/annotations/_w3_base_ac_manifest.json.pre0827.bak	415723	True
experiments/v3_0823/annotations/_w3_base_bd_manifest.json.pre0827.bak	415585	True
experiments/v3_0823/annotations/_w3_h_ac_manifest.json.pre0827.bak	206062	True
experiments/v3_0823/annotations/_w3_h_bd_manifest.json.pre0827.bak	206062	True
experiments/v3_0823/annotations/_w3_lat_ac_manifest.json.pre0827.bak	69770	True
experiments/v3_0823/annotations/_w3_lat_bd_manifest.json.pre0827.bak	69755	True
experiments/v3_0823/annotations/w1b2_A.json.pre0827.bak	1192529	True
experiments/v3_0823/annotations/w1b2_Acorpus.json.pre0827.bak	1191936	True
experiments/v3_0823/annotations/w1b2_B.json.pre0827.bak	1192478	True
experiments/v3_0823/annotations/w1b3_A.json.pre0827.bak	495493	True
experiments/v3_0823/annotations/w1b3_Acorpus.json.pre0827.bak	495004	True
experiments/v3_0823/annotations/w1b3_B.json.pre0827.bak	495045	True
experiments/v3_0823/annotations/w1b_A.json.pre0827.bak	1340396	True
experiments/v3_0823/annotations/w1b_Acorpus.json.pre0827.bak	1339779	True
experiments/v3_0823/annotations/w1b_B.json.pre0827.bak	1340219	True
experiments/v3_0823/code/g7_build_v2corr.py.pre0827.bak	5994	True
experiments/v3_0823/code/g7_make_shadow.py.pre0827.bak	2588	True
experiments/v3_0823/code/g7_variantB.py.pre0827.bak	2961	True
