old	new	wave	kind	size_bytes	reason
look_check/sceneD3/260731_w3_full	look_check/_archive/w3/sceneD3/260731_w3_full	w3	round	66220133	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/260806_w3_allview4	look_check/_archive/w3fix/sceneD3/260806_w3_allview4	w3fix	round	18623118	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/260806_w3_allview5	look_check/_archive/w3fix/sceneD3/260806_w3_allview5	w3fix	round	18618493	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/p0_base_pt	look_check/_archive/w2/sceneD3/p0_base_pt	w2	round	53678352	free round (W2-P2, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/p2g4_on	look_check/_archive/w2/sceneD3/p2g4_on	w2	round	66351650	free round (W2-P2, role=lookAB-corpus, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/r2	look_check/_archive/w2/sceneD3/r2	w2	round	57987080	free round (W2-P3/P4, role=early-iter, cited_by=88) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/r3	look_check/_archive/w2/sceneD3/r3	w2	round	57911467	free round (W2-P3/P4, role=early-iter, cited_by=40) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/r4	look_check/_archive/w2/sceneD3/r4	w2	round	10842039	free round (W2-P3/P4, role=early-iter, cited_by=19) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD3/r5	look_check/_archive/w2/sceneD3/r5	w2	round	7163841	free round (W2-P3/P4, role=early-iter, cited_by=18) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/260731_w3_full	look_check/_archive/w3/sceneD4/260731_w3_full	w3	round	33499672	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/260806_w3_allview4	look_check/_archive/w3fix/sceneD4/260806_w3_allview4	w3fix	round	9391319	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/260806_w3_allview5	look_check/_archive/w3fix/sceneD4/260806_w3_allview5	w3fix	round	9384735	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/ctx1_pt	look_check/_archive/w2/sceneD4/ctx1_pt	w2	round	32575469	free round (W2-ctx, role=ctx-corpus, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/ctx2_pt	look_check/_archive/w2/sceneD4/ctx2_pt	w2	round	32585969	free round (W2-ctx, role=ctx-corpus, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/r1	look_check/_archive/w2/sceneD4/r1	w2	round	7339611	free round (W2-P3/P4, role=early-iter, cited_by=84) - not pinned by valset.py / regr-chain / BoR stamp / anchor
