scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
scene07,L7__s20260819__0007.png,V,False,ground_z,5,0.902829,0.002935,0.899894,0.902829,0.002935,0.899894
scene14,L0__s20260819__0000.png,H,True,,5,0.991144,0.005467,0.985677,0.991144,0.005467,0.985677
scene14,L0__s20260819__0001.png,H,True,,5,0.232568,0.004267,0.228301,0.232568,0.004267,0.228301
scene14,L0__s20260819__0002.png,V,True,,10,0.913186,0.002526,0.91066,0.913186,0.002526,0.91066
scene14,L0__s20260819__0003.png,H,True,,5,0.518434,0.00975,0.5086839999999999,0.518434,0.00975,0.5086839999999999
scene14,L0__s20260819__0004.png,H,True,,4,0.746877,0.003887,0.74299,0.746877,0.003887,0.74299
scene14,L0__s20260819__0005.png,V,True,,5,0.980985,0.003967,0.9770179999999999,0.980985,0.003967,0.9770179999999999
scene14,L0__s20260819__0006.png,H,True,,5,0.753706,0.00354,0.750166,0.753706,0.00354,0.750166
scene14,L0__s20260819__0007.png,H,True,,5,0.814765,0.015525,0.79924,0.814765,0.015525,0.79924
scene14,L5__s20260819__0000.png,H,True,,5,0.991144,0.005467,0.985677,0.991144,0.005467,0.985677
scene14,L5__s20260819__0001.png,H,True,,5,0.232568,0.004267,0.228301,0.232568,0.004267,0.228301
scene14,L5__s20260819__0002.png,V,True,,10,0.913186,0.002526,0.91066,0.913186,0.002526,0.91066
scene14,L5__s20260819__0003.png,H,True,,5,0.518434,0.00975,0.5086839999999999,0.518434,0.00975,0.5086839999999999
scene14,L5__s20260819__0004.png,H,True,,4,0.746877,0.003887,0.74299,0.746877,0.003887,0.74299
scene14,L5__s20260819__0005.png,V,True,,5,0.980985,0.003967,0.9770179999999999,0.980985,0.003967,0.9770179999999999
scene14,L5__s20260819__0006.png,H,True,,5,0.753706,0.00354,0.750166,0.753706,0.00354,0.750166
scene14,L5__s20260819__0007.png,H,True,,5,0.814765,0.015525,0.79924,0.814765,0.015525,0.79924
scene14,L7__s20260819__0000.png,H,True,,5,0.991144,0.005467,0.985677,0.991144,0.005467,0.985677
scene14,L7__s20260819__0001.png,H,True,,5,0.232568,0.004267,0.228301,0.232568,0.004267,0.228301
scene14,L7__s20260819__0002.png,V,True,,10,0.913186,0.002526,0.91066,0.913186,0.002526,0.91066
scene14,L7__s20260819__0003.png,H,True,,5,0.518434,0.00975,0.5086839999999999,0.518434,0.00975,0.5086839999999999
scene14,L7__s20260819__0004.png,H,True,,4,0.746877,0.003887,0.74299,0.746877,0.003887,0.74299
scene14,L7__s20260819__0005.png,V,True,,5,0.980985,0.003967,0.9770179999999999,0.980985,0.003967,0.9770179999999999
scene14,L7__s20260819__0006.png,H,True,,5,0.753706,0.00354,0.750166,0.753706,0.00354,0.750166
scene14,L7__s20260819__0007.png,H,True,,5,0.814765,0.015525,0.79924,0.814765,0.015525,0.79924
scene15,L0__s20260819__0000.png,H,True,,1,0.133172,0.058808,0.07436400000000001,0.254404,0.125188,0.12921600000000003
scene15,L0__s20260819__0001.png,V,True,,4,0.826358,0.274027,0.552331,0.84725,0.320241,0.527009
scene15,L0__s20260819__0002.png,V,True,,2,0.508364,0.099026,0.40933800000000004,0.508364,0.111416,0.396948
scene15,L0__s20260819__0003.png,V,True,,8,0.663708,0.130725,0.532983,0.757668,0.165322,0.592346
scene15,L0__s20260819__0004.png,V,True,,2,0.23658,0.058043,0.178537,0.23658,0.060373,0.176207
scene15,L0__s20260819__0005.png,V,True,,4,0.717281,0.166944,0.550337,0.717281,0.166944,0.550337
scene15,L0__s20260819__0006.png,V,True,,4,0.551739,0.043434,0.508305,0.566755,0.157609,0.409146
scene15,L0__s20260819__0007.png,V,True,,1,0.166806,0.045406,0.12140000000000001,0.215435,0.074073,0.141362
scene15,L4__s20260819__0000.png,H,True,,1,0.133172,0.058808,0.07436400000000001,0.254404,0.125188,0.12921600000000003
scene15,L4__s20260819__0001.png,V,True,,4,0.826358,0.274027,0.552331,0.84725,0.320241,0.527009
scene15,L4__s20260819__0002.png,V,True,,2,0.508364,0.099026,0.40933800000000004,0.508364,0.111416,0.396948
scene15,L4__s20260819__0003.png,V,True,,8,0.663708,0.130725,0.532983,0.757668,0.165322,0.592346
scene15,L4__s20260819__0004.png,V,True,,2,0.23658,0.058043,0.178537,0.23658,0.060373,0.176207
scene15,L4__s20260819__0005.png,V,True,,4,0.717281,0.166944,0.550337,0.717281,0.166944,0.550337
scene15,L4__s20260819__0006.png,V,True,,4,0.551739,0.043434,0.508305,0.566755,0.157609,0.409146
scene15,L4__s20260819__0007.png,V,True,,1,0.166806,0.045406,0.12140000000000001,0.215435,0.074073,0.141362
scene15,L7__s20260819__0000.png,H,True,,1,0.133172,0.058808,0.07436400000000001,0.254404,0.125188,0.12921600000000003
scene15,L7__s20260819__0001.png,V,True,,4,0.826358,0.274027,0.552331,0.84725,0.320241,0.527009
scene15,L7__s20260819__0002.png,V,True,,2,0.508364,0.099026,0.40933800000000004,0.508364,0.111416,0.396948
scene15,L7__s20260819__0003.png,V,True,,8,0.663708,0.130725,0.532983,0.757668,0.165322,0.592346
scene15,L7__s20260819__0004.png,V,True,,2,0.23658,0.058043,0.178537,0.23658,0.060373,0.176207
scene15,L7__s20260819__0005.png,V,True,,4,0.717281,0.166944,0.550337,0.717281,0.166944,0.550337
scene15,L7__s20260819__0006.png,V,True,,4,0.551739,0.043434,0.508305,0.566755,0.157609,0.409146
scene15,L7__s20260819__0007.png,V,True,,1,0.166806,0.045406,0.12140000000000001,0.215435,0.074073,0.141362
scene18,L0__s20260819__0000.png,V,True,,15,0.97646,0.563458,0.413002,0.97646,0.563458,0.413002
scene18,L0__s20260819__0001.png,V,True,,11,0.838253,0.010649,0.827604,0.838253,0.010649,0.827604
scene18,L0__s20260819__0002.png,E,True,,4,0.029594,0.018468,0.011126,0.029594,0.018468,0.011126
scene18,L0__s20260819__0003.png,V,True,,15,0.842998,0.005819,0.837179,0.842998,0.005819,0.837179
scene18,L0__s20260819__0004.png,V,True,,15,0.835893,0.671825,0.164068,0.835893,0.671825,0.164068
scene18,L0__s20260819__0005.png,V,True,,15,0.942593,0.032655,0.909938,0.942593,0.032655,0.909938
scene18,L0__s20260819__0006.png,E,True,,5,0.901696,0.822595,0.07910100000000009,0.901696,0.822595,0.07910100000000009
scene18,L0__s20260819__0007.png,E,True,,4,0.313243,0.313252,-8.999999999981245e-06,0.313243,0.313252,-8.999999999981245e-06
scene18,L5__s20260819__0000.png,V,True,,15,0.97646,0.563458,0.413002,0.97646,0.563458,0.413002
scene18,L5__s20260819__0001.png,V,True,,11,0.838253,0.010649,0.827604,0.838253,0.010649,0.827604
scene18,L5__s20260819__0002.png,E,True,,4,0.029594,0.018468,0.011126,0.029594,0.018468,0.011126
scene18,L5__s20260819__0003.png,V,True,,15,0.842998,0.005819,0.837179,0.842998,0.005819,0.837179
scene18,L5__s20260819__0004.png,V,True,,15,0.835893,0.671825,0.164068,0.835893,0.671825,0.164068
scene18,L5__s20260819__0005.png,V,True,,15,0.942593,0.032655,0.909938,0.942593,0.032655,0.909938
scene18,L5__s20260819__0006.png,E,True,,5,0.901696,0.822595,0.07910100000000009,0.901696,0.822595,0.07910100000000009
scene18,L5__s20260819__0007.png,E,True,,4,0.313243,0.313252,-8.999999999981245e-06,0.313243,0.313252,-8.999999999981245e-06
scene18,L7__s20260819__0000.png,V,True,,15,0.97646,0.563458,0.413002,0.97646,0.563458,0.413002
scene18,L7__s20260819__0001.png,V,True,,11,0.838253,0.010649,0.827604,0.838253,0.010649,0.827604
scene18,L7__s20260819__0002.png,E,True,,4,0.029594,0.018468,0.011126,0.029594,0.018468,0.011126
scene18,L7__s20260819__0003.png,V,True,,15,0.842998,0.005819,0.837179,0.842998,0.005819,0.837179
scene18,L7__s20260819__0004.png,V,True,,15,0.835893,0.671825,0.164068,0.835893,0.671825,0.164068
