scene,arm,frame_id,cond,round,d,h_rel,pitch,yaw,finite_frac,inf_frac,p05,p25,p50,p75,p95,max_finite,min_finite,sat_frac,mean_norm,std_norm,frac_band1,frac_band2,frac_band3a,frac_band3b,vgrad_mean,vgrad_p99,hgrad_mean
scene14,off,off/scene14/L0__s20260820__0000.png::boost_e,L0,260820_boost_e_off,8.9228,1.4412,-8.1284,3.311,0.7857421875,0.2142578125,3.33984375,4.33203125,6.8984375,37.5,50.6875,76.875,3.115234375,0.5062220293209877,0.7681044340133667,0.26647642254829407,0.0,0.26665075231481483,0.17173707561728396,0.08636622299382717,0.050824735313653946,0.2890625,0.0006177480681799352
scene14,off,off/scene14/L0__s20260820__0001.png::boost_e,L0,260820_boost_e_off,11.2053,1.7168,-10.3828,-4.0507,0.8005015432098765,0.19949845679012346,3.564453125,4.55859375,6.98828125,18.984375,52.5,79.5,3.330078125,0.4870630787037037,0.7711012363433838,0.25647762417793274,0.0,0.25084056712962965,0.19661747685185185,0.10665702160493827,0.04916822165250778,0.2578125,0.0006716231582686305
scene14,off,off/scene14/L0__s20260820__0002.png::boost_e,L0,260820_boost_e_off,11.657,1.2307,-7.0039,2.401,0.7134418402777778,0.2865581597222222,2.79296875,3.591796875,5.5859375,13.0625,53.34375,80.1875,2.630859375,0.5017173032407407,0.7400447726249695,0.2930075526237488,0.0,0.31884982638888887,0.13459394290123458,0.07364535108024692,0.054671525955200195,0.359375,0.00029915833147242665
scene14,off,off/scene14/L0__s20260820__0003.png::boost_e,L0,260820_boost_e_off,10.095,1.8852,-7.2352,-9.0359,0.6958304398148148,0.3041695601851852,4.39453125,5.5703125,8.375,36.84375,52.1875,78.9375,4.078125,0.5961255787037038,0.8488094210624695,0.20992828905582428,0.0,0.11450954861111111,0.21707658179012346,0.11564380787037037,0.04316539689898491,0.234375,0.0008008629665710032
scene14,off,off/scene14/L0__s20260820__0004.png::boost_e,L0,260820_boost_e_off,6.7379,1.5701,-16.0704,-3.7589,0.9564814814814815,0.04351851851851852,2.80078125,3.56640625,5.40625,11.890625,46.65625,60.96875,2.630859375,0.3144164737654321,0.6410456895828247,0.28759557008743286,0.0,0.4404591049382716,0.1877170138888889,0.09051311728395062,0.054638367146253586,0.265625,0.0009069788502529263
scene14,off,off/scene14/L0__s20260820__0005.png::boost_e,L0,260820_boost_e_off,8.1602,1.6314,-12.4022,9.6925,0.8446330054012345,0.15536699459876543,3.140625,4.0078125,6.12109375,15.3125,49.15625,73.5,2.9453125,0.4254668209876543,0.7193387150764465,0.2779947519302368,0.0,0.3322120949074074,0.1840186149691358,0.08969425154320988,0.052196234464645386,0.2734375,0.0006834878004156053
scene14,off,off/scene14/L0__s20260820__0006.png::boost_e,L0,260820_boost_e_off,8.239,1.2253,-16.5186,9.6527,0.933110050154321,0.06688994984567902,2.111328125,2.673828125,4.00390625,7.97265625,46.4375,63.15625,1.986328125,0.2562041859567901,0.5539897084236145,0.30958834290504456,0.0011111111111111111,0.5586617476851852,0.1408179012345679,0.06645688657407407,0.05954013019800186,0.34375,0.0006913572433404624
scene14,off,off/scene14/L0__s20260820__0007.png::boost_e,L0,260820_boost_e_off,10.4613,1.2748,-6.1172,5.4847,0.7196296296296296,0.2803703703703704,3.134765625,4.06640625,6.46484375,22.9375,52.5,78.1875,2.8671875,0.5324165702160494,0.7719040513038635,0.27409183979034424,0.0,0.2704181134259259,0.14791232638888888,0.07821180555555556,0.052254900336265564,0.328125,0.0013713340740650892
scene15,on,on/scene15/L0__s20260819__0000.png,L0,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,0.9971098572530864,0.00289014274691358,1.0087890625,1.4765625,1.955078125,3.15234375,9.734375,40.96875,0.80078125,0.036691261574074076,0.2922826111316681,0.24463608860969543,0.5154648919753086,0.3485450424382716,0.04770929783950617,0.05775366512345679,0.03410881385207176,0.4375,0.03743970766663551
scene15,on,on/scene15/L0__s20260819__0001.png,L0,260819_main_on,1.858,0.4837,-7.5218,-9.2458,0.9978804976851852,0.002119502314814815,1.12109375,1.470703125,1.7802734375,2.5625,14.5546875,32.09375,1.0244140625,0.06368923611111112,0.2764306366443634,0.2417743057012558,0.6651827739197531,0.2036111111111111,0.04828462577160494,0.02210744598765432,0.026408150792121887,0.2890625,0.04927549883723259
