label_set,stem,scene,model,leg,pair,n_paired,verdict,folded,d_cue_mean,sign_class,placebo_ratio,placebo_grade
twin,260823_cueoff,scene20,b2,secondary,A_vs_B1,6,VOID,True,1.0,SAME-SIGN,0.235,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,rgb,primary,A_vs_B2,0,VOID,False,nan,EMPTY,0.401,ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,rgb,primary-twinconditional,A_vs_B2,0,VOID,False,nan,EMPTY,,
twin,260823_cueoff2,scene12,rgb,secondary,A_vs_B1,0,VOID,False,nan,EMPTY,0.065,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,depth,primary,A_vs_B2,0,VOID,False,nan,EMPTY,0.401,ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,depth,primary-twinconditional,A_vs_B2,0,VOID,False,nan,EMPTY,,
twin,260823_cueoff2,scene12,depth,secondary,A_vs_B1,0,VOID,False,nan,EMPTY,0.065,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,b2,primary,A_vs_B2,0,VOID,False,nan,EMPTY,0.401,ANTI-CONSERVATIVE
twin,260823_cueoff2,scene12,b2,primary-twinconditional,A_vs_B2,0,VOID,False,nan,EMPTY,,
twin,260823_cueoff2,scene12,b2,secondary,A_vs_B1,0,VOID,False,nan,EMPTY,0.065,SEVERELY ANTI-CONSERVATIVE
